,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
0,E07000223,Adur,17,35,43,2,8,741,11.0,7860,17650,2730,320,315000.0,30072,10.47,262500.0,23956,10.96
1,E07000128,Wyre,80,17,64,41,3,3710,96.0,24030,20330,7960,1160,164500.0,27252,6.04,125000.0,20928,5.97
2,E07000089,Hart,15,14,11,9,1,1468,71.0,2990,18860,15050,4160,415000.0,41491,10.0,325000.0,27829,11.68
3,E07000030,Eden,21,8,29,17,1,1010,96.0,11710,10460,4590,440,195000.0,30707,6.35,142000.0,20904,6.79
4,E08000002,Bury,49,173,126,9,20,1226,290.0,48950,26490,7360,1450,178000.0,32173,5.53,130000.0,22714,5.72
5,E06000014,York,164,61,83,68,42,1738,173.0,38030,40240,11560,1990,247000.0,29065,8.5,196000.0,21287,9.21
6,E07000224,Arun,105,78,95,67,53,1054,122.0,20800,36070,16460,2990,287500.0,28861,9.96,227000.0,20657,10.99
7,E07000119,Fylde,27,37,50,6,3,663,112.0,13800,16630,7900,1770,205000.0,36089,5.68,146000.0,26375,5.54
8,E08000010,Wigan,191,384,318,50,59,8460,274.0,101680,37500,8850,690,147000.0,29872,4.92,105000.0,21951,4.78
9,E06000032,Luton,134,270,265,37,25,12077,251.0,47640,30360,4510,300,251000.0,29467,8.52,210000.0,21870,9.6
10,E07000220,Rugby,18,75,60,9,6,448,92.0,20520,18470,8160,1840,245000.0,32338,7.58,185000.0,22809,8.11
11,E09000005,Brent,-51,-51,..,132,22,24002,319.0,19260,74940,28970,3670,498000.0,34366,14.49,353000.0,23584,14.97
12,E07000129,Blaby,66,35,46,22,16,836,127.0,20320,16680,6100,560,225000.0,35222,6.39,190000.0,24648,7.71
13,E07000063,Lewes,24,45,53,10,4,1090,44.0,10610,23460,9070,2590,320000.0,31031,10.31,257500.0,22953,11.22
14,E07000169,Selby,25,31,30,10,7,629,54.0,17330,14880,7670,1010,210000.0,34079,6.16,160497.5,23724,6.77
15,W06000003,Conwy,,,,,,,,,,,,170000.0,29972,5.67,129000.0,21726,5.94
16,E06000029,Poole,243,313,207,97,55,..,453.0,60460,89450,30790,6880,285000.0,29284,9.73,218000.0,22424,9.72
17,E07000150,Corby,,,,,,1700,132.0,20680,7720,2100,180,192000.0,27844,6.9,155500.0,21686,7.17
18,E06000015,Derby,435,188,482,197,41,7798,452.0,78660,25440,6940,710,170000.0,32181,5.28,127000.0,23023,5.52
19,E08000035,Leeds,726,350,571,616,52,24058,1035.0,217870,104830,32260,7900,192500.0,30274,6.36,140000.0,22470,6.23
20,W06000023,Powys,,,,,,,,,,,,180000.0,28666,6.28,135000.0,21336,6.33
21,E07000108,Dover,95,57,111,41,19,1681,67.0,24000,21410,6810,1600,250000.0,34299,7.29,187000.0,23866,7.84
22,E07000113,Swale,91,138,61,68,18,1213,229.0,26460,28530,8220,1360,249999.0,31177,8.02,197000.0,20643,9.54
23,E07000041,Exeter,144,112,169,58,21,2782,121.0,28180,23550,6340,1010,256500.0,30188,8.5,200000.0,20828,9.6
24,E09000007,Camden,56,142,103,29,14,7062,140.0,15860,46880,31490,17520,800000.0,42528,18.81,526500.0,31758,16.58
25,E09000025,Newham,159,223,30,53,27,31887,127.0,38830,76810,7410,280,400000.0,32942,12.14,335000.0,24179,13.85
26,E07000064,Rother,-51,-51,..,..,..,1825,117.0,12120,19210,11420,2950,310000.0,29084,10.66,225000.0,21672,10.38
27,E06000035,Medway,204,235,92,109,36,3026,381.0,49810,52470,13550,1530,250000.0,33259,7.52,207000.0,23397,8.85
28,E07000114,Thanet,132,97,70,78,30,1607,228.0,35960,25560,5560,810,247725.0,27617,8.97,180000.0,20996,8.57
29,E07000217,Woking,51,22,28,11,9,957,43.0,3710,23070,10370,5880,400000.0,40708,9.83,300000.0,28021,10.71
30,E09000024,Merton,118,47,67,92,30,9125,89.0,9660,51510,18900,5860,485000.0,42049,11.53,382000.0,27970,13.66
31,E07000178,Oxford,57,50,74,18,16,1760,106.0,12830,35360,10300,3900,400000.0,34124,11.72,321802.0,24947,12.9
32,E07000122,Pendle,35,21,32,14,5,1590,174.0,29660,7820,2830,570,113000.0,26613,4.25,72000.0,19775,3.64
33,E09000009,Ealing,332,280,161,202,60,10875,254.0,18550,80660,34140,8040,480000.0,36354,13.2,375000.0,25579,14.66
34,E08000027,Dudley,70,383,212,26,20,2665,691.0,82570,46890,9480,1110,180000.0,30742,5.86,138000.0,22920,6.02
35,E08000015,Wirral,76,176,190,27,20,11706,367.0,92870,40970,12600,3420,165000.0,28977,5.69,118000.0,21080,5.6
36,E06000027,Torbay,54,177,139,38,21,1366,168.0,31430,27390,7670,1380,203250.0,27409,7.42,157000.0,21523,7.29
37,E08000004,Oldham,230,235,269,73,58,5931,208.0,68010,23410,4910,980,139950.0,26357,5.31,100000.0,20472,4.88
38,E07000163,Craven,15,15,20,16,1,544,29.0,10560,10510,5420,1440,229950.0,26192,8.78,161500.0,18634,8.67
39,E07000136,Boston,37,29,33,22,0,3024,95.0,21340,8290,1050,90,167750.0,24219,6.93,129950.0,17978,7.23
40,E08000001,Bolton,178,308,285,68,16,9042,661.0,86670,29310,7930,2110,145000.0,27107,5.35,102500.0,21123,4.85
41,E09000015,Harrow,48,128,99,9,17,1915,52.0,4950,51270,30770,7480,480000.0,38460,12.48,370000.0,26098,14.18
42,E07000187,Mendip,102,60,87,55,15,1636,137.0,20790,20770,9430,2080,266250.0,29573,9.0,209500.0,21325,9.82
43,E09000029,Sutton,97,94,119,63,21,2472,106.0,8840,52410,19730,4010,403500.0,34901,11.56,305000.0,24896,12.25
44,E06000006,Halton,68,184,71,41,9,4249,307.0,39690,13340,4980,390,150000.0,30709,4.88,102500.0,22487,4.56
45,E06000039,Slough,108,79,40,33,37,2005,67.0,12050,36580,6330,350,325000.0,32818,9.9,256000.0,24682,10.37
46,E09000004,Bexley,53,100,73,27,15,6365,211.0,15190,58050,24430,1750,370000.0,39869,9.28,295000.0,27000,10.93
47,E07000090,Havant,56,56,65,25,6,1564,117.0,23080,23380,8300,1010,283000.0,29858,9.48,220000.0,20160,10.91
48,E07000082,Stroud,-51,-51,..,..,..,2825,76.0,20110,20800,10940,2840,272000.0,32059,8.48,213000.0,23644,9.01
49,E07000073,Harlow,34,52,58,11,12,3661,72.0,10860,23800,3860,450,285000.0,27857,10.23,248000.0,20898,11.87
50,E07000133,Melton,-51,-51,..,..,..,581,68.0,10980,7460,3950,1070,214000.0,27398,7.81,170000.0,17382,9.78
51,E09000003,Barnet,241,273,184,142,66,3171,71.0,13970,67760,52600,20680,557500.0,34999,15.93,405000.0,24374,16.62
52,E08000014,Sefton,65,132,123,23,11,5290,431.0,67380,46070,12460,3000,177450.0,30010,5.91,128000.0,21994,5.82
53,E07000074,Maldon,44,18,29,13,3,1023,66.0,6200,13650,7410,1760,320000.0,37380,8.56,260000.0,25197,10.32
54,E07000103,Watford,41,57,39,20,12,928,96.0,4930,27800,5830,1990,375000.0,34604,10.84,300000.0,25678,11.68
55,E07000227,Horsham,60,44,39,42,8,782,148.0,8880,27540,19530,8580,395000.0,34990,11.29,305000.0,23832,12.8
56,E07000222,Warwick,36,67,36,14,7,1832,273.0,17330,31220,13140,4880,307750.0,35029,8.79,240000.0,24263,9.89
57,E07000138,Lincoln,40,115,96,6,21,815,67.0,37030,7470,1820,190,159950.0,29442,5.43,125000.0,20754,6.02
58,E07000202,Ipswich,295,89,75,231,25,3100,338.0,42220,15780,3250,390,200000.0,27833,7.19,161875.0,21671,7.47
59,E09000022,Lambeth,335,402,270,279,34,30864,338.0,38450,74640,26270,6960,550000.0,42000,13.1,415700.0,29617,14.04
60,E07000096,Dacorum,90,68,100,38,18,8274,177.0,9440,35560,14820,5810,390000.0,35134,11.1,306550.0,26230,11.69
61,E07000206,Waveney,,,,,,..,,,,,,,,,,,
62,E07000173,Gedling,37,15,25,24,9,602,110.0,29870,16960,5520,980,193000.0,30019,6.43,147500.0,22617,6.52
63,E09000012,Hackney,196,337,243,82,31,13440,240.0,39880,59560,17300,1280,626000.0,37585,16.66,447000.0,27302,16.37
64,W06000022,Newport,,,,,,,,,,,,175000.0,29611,5.91,133000.0,21031,6.32
65,W06000002,Gwynedd,,,,,,,,,,,,158500.0,27566,5.75,112000.0,20816,5.38
66,E09000010,Enfield,337,346,302,190,50,4572,288.0,17150,71310,30730,6870,415000.0,33161,12.51,335000.0,24476,13.69
67,W06000020,Torfaen,,,,,,,,,,,,158000.0,29006,5.45,116000.0,22329,5.2
68,E07000036,Erewash,41,34,28,23,3,2174,246.0,35770,12970,3200,550,167500.0,29203,5.74,128000.0,21260,6.02
69,E07000065,Wealden,52,31,46,29,17,629,119.0,12310,32170,19110,7920,325000.0,34747,9.35,255000.0,23770,10.73
70,E07000087,Fareham,19,41,30,16,3,1125,69.0,10850,26280,11620,1600,299950.0,32965,9.1,243000.0,25666,9.47
71,E07000010,Fenland,44,103,133,32,13,1405,223.0,29650,13410,2990,200,197000.0,28175,6.99,157500.0,20799,7.57
72,E07000088,Gosport,82,42,58,30,16,701,105.0,19410,14340,3550,350,210000.0,30119,6.97,175000.0,23275,7.52
73,E09000008,Croydon,142,394,9,66,34,5470,422.0,27380,91510,35160,8140,390000.0,37458,10.41,307500.0,25653,11.99
74,E07000148,Norwich,61,39,49,45,2,3436,344.0,51710,12420,3190,680,198000.0,26927,7.35,161000.0,21147,7.61
75,E07000105,Ashford,75,78,98,26,23,1246,67.0,17740,22740,12420,3530,290000.0,30342,9.56,223000.0,22933,9.72
76,E07000123,Preston,88,140,126,46,5,2910,411.0,42480,17000,4670,1010,150000.0,26918,5.57,98000.0,21488,4.56
77,E08000030,Walsall,109,105,116,77,7,14327,609.0,79220,28900,8010,880,158000.0,27896,5.66,120300.0,21338,5.64
78,E07000226,Crawley,71,115,109,41,12,1192,157.0,8750,31110,6100,480,295000.0,31407,9.39,250000.0,25264,9.9
79,E09000006,Bromley,64,152,114,34,20,2408,306.0,12400,66390,47700,15440,455000.0,43142,10.55,340000.0,28880,11.77
80,E06000023,Bristol,100,519,489,45,29,15486,1056.0,128110,58920,14700,3210,280000.0,32604,8.59,224000.0,25456,8.8
81,E08000006,Salford,95,371,86,101,8,5158,360.0,88390,29320,5120,960,177000.0,29439,6.01,136000.0,21094,6.45
82,E07000167,Ryedale,29,30,35,10,8,889,64.0,8900,10700,5690,1290,229950.0,26318,8.74,175500.0,20871,8.41
83,E06000017,Rutland,10,14,12,5,6,446,54.0,6430,5800,4020,1460,304000.0,32577,9.33,210500.0,26530,7.93
84,W06000015,Cardiff,,,,,,,,,,,,215000.0,28194,7.63,163250.0,20858,7.83
85,W06000011,Swansea,,,,,,,,,,,,155000.0,27480,5.64,115000.0,21208,5.42
86,W06000006,Wrexham,,,,,,,,,,,,155000.0,28990,5.35,117000.0,21429,5.46
87,E06000030,Swindon,89,250,205,30,25,4420,510.0,42410,42050,12960,1470,227500.0,31580,7.2,176625.0,23768,7.43
88,E06000055,Bedford,100,162,157,35,18,1220,400.0,29130,31230,13920,3380,281625.0,34778,8.1,221000.0,25242,8.76
89,E07000117,Burnley,41,84,76,22,4,1819,288.0,31150,9140,1600,150,97500.0,25987,3.75,61000.0,19179,3.18
90,E07000051,Purbeck,,,,,,..,,,,,,,,,,,
91,E06000038,Reading,61,166,77,38,27,2825,126.0,22050,41080,9040,1960,300000.0,32878,9.12,250000.0,23373,10.7
92,E07000200,Babergh,44,15,34,20,5,754,140.0,16980,16050,6930,1890,280000.0,31677,8.84,219475.0,20703,10.6
93,E07000007,Wycombe,,,,,,..,,,,,,,,,,,
94,E07000118,Chorley,99,7,47,65,7,1609,180.0,27010,16540,7560,1040,174500.0,31110,5.61,128500.0,21713,5.92
95,E08000034,Kirklees,223,133,272,157,39,10974,195.0,120480,49390,17530,2370,160000.0,29001,5.52,115000.0,21544,5.34
96,E08000011,Knowsley,136,97,139,74,19,2896,315.0,52700,14610,2160,150,150000.0,29807,5.03,108000.0,21639,4.99
97,E08000016,Barnsley,105,111,134,61,12,6161,98.0,83920,23130,5500,740,135000.0,26917,5.02,95000.0,20579,4.62
98,E07000120,Hyndburn,16,19,19,8,2,1611,170.0,27550,8390,1140,180,110000.0,25425,4.33,70000.0,21151,3.31
99,W06000013,Bridgend,,,,,,,,,,,,160000.0,28064,5.7,120000.0,20842,5.76
100,E08000032,Bradford,448,217,298,359,29,14420,863.0,138090,58630,18890,4020,139950.0,27871,5.02,95500.0,20601,4.64
101,E08000029,Solihull,110,104,136,71,24,2828,75.0,26780,39940,20930,6010,287250.0,35056,8.19,205000.0,24014,8.54
102,E07000238,Wychavon,31,66,52,14,6,1242,133.0,18640,21860,14250,4830,280000.0,28652,9.77,213500.0,22917,9.32
103,E09000014,Haringey,315,173,178,252,42,11640,88.0,27470,61400,16500,5430,518750.0,35590,14.58,400000.0,26179,15.28
104,E07000229,Worthing,43,76,95,25,13,1419,108.0,19560,22710,7900,940,292750.0,30100,9.73,217000.0,22642,9.58
105,E09000018,Hounslow,-51,-51,..,..,..,3338,239.0,11790,67590,21930,5060,427000.0,34694,12.31,332010.0,25666,12.94
106,E07000062,Hastings,98,151,146,23,20,1338,135.0,27120,13320,3100,230,230000.0,26336,8.73,177000.0,18949,9.34
107,E07000172,Broxtowe,36,28,36,20,5,2300,126.0,29800,16970,3500,520,192500.0,32083,6.0,154000.0,24795,6.21
108,E09000016,Havering,314,228,204,49,41,2148,194.0,16590,64570,21970,3400,375000.0,35227,10.65,320000.0,27749,11.53
109,E07000066,Basildon,34,133,96,20,13,1595,77.0,25290,39260,12460,2180,305000.0,32783,9.3,243500.0,22040,11.05
110,E09000023,Lewisham,296,233,337,140,63,10088,210.0,44310,73920,10680,1540,430000.0,37235,11.55,340000.0,26388,12.88
111,E07000197,Stafford,19,23,30,13,1,179,166.0,26150,23740,10360,1730,214950.0,31240,6.88,160000.0,22640,7.07
112,E07000033,Bolsover,29,18,11,17,0,1519,145.0,28460,7050,1440,150,135000.0,27706,4.87,100000.0,20318,4.92
113,E07000216,Waverley,36,32,32,17,2,815,56.0,4350,23190,16680,10640,480000.0,41237,11.64,350000.0,27055,12.94
114,E08000026,Coventry,223,432,482,95,85,13338,919.0,104110,34810,7380,1630,185000.0,29102,6.36,147000.0,20685,7.11
115,E07000076,Tendring,81,119,136,52,11,1175,31.0,31240,32710,7330,960,239472.5,28929,8.28,182750.0,22553,8.1
116,E07000107,Dartford,76,44,27,25,20,962,40.0,8520,28270,9920,1150,320000.0,38084,8.4,264995.0,25828,10.26
117,E07000151,Daventry,,,,,,1766,123.0,12450,14380,8110,2610,265000.0,29548,8.97,203000.0,21111,9.62
118,E07000079,Cotswold,25,28,29,5,1,1747,236.0,9040,18840,11500,5370,357500.0,32175,11.11,265500.0,20690,12.83
119,E06000052,Cornwall,560,375,659,226,193,15448,750.0,134830,102650,34460,4590,236000.0,27223,8.67,173000.0,19396,8.92
120,E07000029,Copeland,41,27,48,32,1,1865,170.0,23910,7430,2360,110,130000.0,43463,2.99,83500.0,26519,3.15
121,E06000026,Plymouth,154,281,10,43,45,8062,492.0,80840,33510,6980,670,182500.0,26862,6.79,145000.0,20650,7.02
122,E07000005,Chiltern,,,,,,..,,,,,,,,,,,
123,E08000008,Tameside,112,186,128,54,23,592,588.0,71780,26710,4760,470,153100.0,25643,5.97,122500.0,19982,6.13
124,E07000236,Redditch,49,73,37,19,16,1894,47.0,20000,12320,4650,490,216000.0,26082,8.28,163000.0,20235,8.06
125,E07000199,Tamworth,38,54,45,18,5,451,193.0,21490,9590,2540,120,210000.0,25681,8.18,168000.0,21226,7.91
126,E07000177,Cherwell,50,28,47,29,7,1640,229.0,22090,30700,12600,2970,300000.0,32839,9.14,242000.0,22231,10.89
127,E07000170,Ashfield,30,44,34,8,16,3474,168.0,41400,13060,1970,150,145000.0,26411,5.49,115000.0,20383,5.64
128,E06000034,Thurrock,111,87,63,34,31,7040,274.0,21280,40020,7060,880,290000.0,33242,8.72,239950.0,25641,9.36
129,E08000028,Sandwell,-51,-51,..,..,..,6288,279.0,102320,28640,3460,100,155000.0,26423,5.87,125000.0,20235,6.18
130,E08000005,Rochdale,182,172,231,81,16,6818,531.0,68000,20640,6110,940,145000.0,27444,5.28,105000.0,20137,5.21
131,E07000075,Rochford,29,31,23,19,6,988,78.0,5320,22340,7540,1450,332500.0,33837,9.83,285000.0,24382,11.69
132,E08000009,Trafford,128,110,94,29,46,4156,302.0,41310,42110,12460,5220,290000.0,34599,8.38,210000.0,25051,8.38
133,E07000028,Carlisle,59,50,57,26,6,5541,302.0,34940,14000,4190,430,140000.0,29223,4.79,98000.0,22763,4.31
134,E07000046,Torridge,65,51,83,30,18,1233,60.0,15440,12770,4450,400,225000.0,26854,8.38,169950.0,22187,7.66
135,E07000092,Rushmoor,67,67,79,49,13,1558,140.0,10490,25150,5290,340,300000.0,35361,8.48,235500.0,25005,9.42
136,E08000012,Liverpool,68,199,183,41,10,15648,1316.0,182120,41920,7290,1850,130000.0,30860,4.21,84000.0,21372,3.93
137,E08000036,Wakefield,279,174,282,111,58,25974,720.0,109680,38770,10680,1250,156995.0,26150,6.0,115000.0,20321,5.66
138,E07000188,Sedgemoor,67,105,121,31,21,2731,229.0,26240,20530,8080,1470,220000.0,27682,7.95,165000.0,20455,8.07
139,E07000121,Lancaster,177,122,233,72,9,1736,213.0,39450,19310,6190,930,160000.0,29228,5.47,120000.0,22804,5.26
140,E07000240,St Albans,34,19,31,11,17,538,180.0,4050,26560,22230,9190,545000.0,42744,12.75,400000.0,28958,13.81
141,E07000174,Mansfield,28,39,27,21,6,6899,71.0,37190,10810,2070,220,145000.0,25090,5.78,109950.0,20596,5.34
142,E07000111,Sevenoaks,75,49,73,17,7,838,86.0,5110,23570,13660,9290,415000.0,35277,11.76,310000.0,23011,13.47
143,E08000019,Sheffield,136,579,658,35,36,21615,539.0,188880,48830,13840,3050,168000.0,28369,5.92,124972.5,21444,5.83
144,E08000007,Stockport,207,102,202,130,31,6308,386.0,60290,48040,19450,3650,233500.0,33827,6.9,170000.0,23260,7.31
145,E06000016,Leicester,305,230,213,136,45,5357,364.0,112240,23410,5080,660,182000.0,24644,7.39,148000.0,19189,7.71
146,E07000212,Runnymede,20,25,18,14,6,1157,64.0,3400,19040,10890,4190,415000.0,37451,11.08,327500.0,24155,13.56
147,E07000110,Maidstone,126,86,158,71,7,840,277.0,13650,39370,16250,4730,315000.0,32533,9.68,247500.0,23409,10.57
148,E08000018,Rotherham,117,202,129,66,42,7245,543.0,86710,24920,6520,800,145000.0,27937,5.19,105000.0,20424,5.14
149,E07000215,Tandridge,42,24,19,21,5,1718,17.0,3120,14180,12520,7520,440000.0,37478,11.74,345000.0,24083,14.33
150,E07000194,Lichfield,53,35,48,17,15,1451,284.0,16510,18520,8650,3020,250000.0,37138,6.73,180000.0,23854,7.55
151,E07000243,Stevenage,47,116,95,20,15,1952,22.0,8330,24910,4100,450,275000.0,32627,8.43,243000.0,23859,10.18
152,E09000026,Redbridge,32,184,146,15,21,7582,110.0,16320,59680,27210,3440,430000.0,36975,11.63,325000.0,28107,11.56
153,E07000042,Mid Devon,50,41,51,22,5,1547,59.0,15470,13470,7190,1010,247750.0,27030,9.17,185000.0,21318,8.68
154,E07000098,Hertsmere,42,52,42,7,9,554,101.0,3870,22010,13450,5740,460000.0,35602,12.92,350000.0,25977,13.47
155,E09000028,Southwark,309,420,299,206,26,10013,161.0,49710,61930,27090,5310,529100.0,38266,13.83,400000.0,28082,14.24
156,E06000041,Wokingham,36,42,62,11,8,2086,46.0,5940,31670,26990,7070,420000.0,39551,10.62,320000.0,26554,12.05
157,E07000008,Cambridge,62,95,79,29,16,1997,235.0,15030,30300,9710,3740,430000.0,34827,12.35,330000.0,23975,13.76
158,E07000207,Elmbridge,43,35,43,20,7,1809,54.0,2260,21660,19030,15700,600000.0,42332,14.17,411250.0,28783,14.29
159,E07000086,Eastleigh,61,26,53,42,8,1905,218.0,16800,29860,10970,1170,299995.0,34098,8.8,240000.0,25859,9.28
160,E08000037,Gateshead,310,87,289,143,45,6141,567.0,69300,21210,3430,430,140000.0,26414,5.3,100000.0,20486,4.88
161,E07000144,Broadland,23,35,27,4,9,611,98.0,20300,30840,7440,940,255000.0,32070,7.95,210000.0,23953,8.77
162,E07000109,Gravesham,51,68,32,20,15,1196,46.0,10660,25140,6710,1170,295000.0,30070,9.81,244000.0,21921,11.13
163,E07000068,Brentwood,9,18,17,7,5,724,61.0,3710,15300,10590,4530,450000.0,44185,10.18,345000.0,30161,11.44
164,E09000011,Greenwich,225,327,215,163,41,19132,212.0,32860,69360,16100,2590,440000.0,36675,12.0,338000.0,27790,12.16
165,E07000143,Breckland,60,111,113,10,12,861,174.0,33580,22000,6300,840,220000.0,26613,8.27,175000.0,21956,7.97
166,E07000209,Guildford,61,39,62,32,2,1979,148.0,4840,28590,16790,9240,450000.0,41668,10.8,335000.0,27414,12.22
167,E07000164,Hambleton,25,29,26,8,7,1274,194.0,12640,17170,10770,2690,237725.0,32913,7.22,178000.0,21914,8.12
168,E07000130,Charnwood,-51,-51,..,..,..,1058,177.0,34250,29950,10580,2220,225000.0,30221,7.45,175000.0,21406,8.18
169,E07000165,Harrogate,78,78,96,39,22,1688,241.0,23010,28080,16660,6540,295000.0,33033,8.93,216250.0,22736,9.51
170,E07000026,Allerdale,34,85,97,20,1,2585,303.0,30070,12940,4180,480,162250.0,33335,4.87,105000.0,22638,4.64
171,E09000019,Islington,168,328,135,86,2,14164,204.0,11010,63000,28750,8030,650000.0,47120,13.79,470000.0,31082,15.12
172,E07000153,Kettering,,,,,,918,219.0,26360,13900,4940,750,210000.0,29956,7.01,164972.5,23654,6.97
